lang,text
deu,Sie ging über die sieben Berge zu den sieben Zwergen.
deu,"Es ist der gleiche Esel, aber ein anderer Sattel."
deu,Darf ich an deinem Rechner meine Netzpost nachsehen?
deu,Wie viel macht sieben mal drei?
deu,Sie hat ihn schreien hören.
deu,Ich hätte das auch ohne Ihre Hilfe geschafft.
deu,Schon lockt labende Ruhe.
deu,"Ich beabsichtige, eine Woche lang hier zu bleiben."
deu,Tom ist schlagfertig. Ihm fällt zu jeder Situation in Windeseile eine passende Bemerkung ein.
deu,Es gibt dir ein jüngeres Aussehen.
deu,Ich vertraue ihm überhaupt nicht.
deu,Sein Großvater ist letztes Jahr an Krebs gestorben.
deu,„Die Amsel verhaspelt sich am Ende der Melodie immer.“ – „Sie ist sicher noch jung und muss das Zwitschern erst lernen.“
deu,"„Tom will wissen, welches der Bücher am interessantesten ist.“ – „Woher soll ich das denn wissen? Ich habe keines davon gelesen.“"
deu,Besuchen Sie uns! Wir haben ein Gästezimmer für zwei Personen.
deu,Die Band erzeugte eine ohrenbetäubende Klangmauer.
deu,"„Ich dachte, Tom wäre Deutscher.“ – „Nein, weit gefehlt! Er ist Bayer. Hörst du das denn nicht?“"
deu,"Sie sagte, es sei wichtig."
deu,"Halt den Rand, Idiot!"
deu,Schlafe gut und träume süß!
deu,"Bitte verzeih mir, dass ich so unbeholfen bin."
deu,Das geht mir am Arsch vorbei.
deu,"Wenn die Auseinandersetzung beendet ist, ist alles anders."
deu,Wir waren gute Kameraden.
deu,Wen sollte ich in Kenntnis setzen?
deu,Dieser Wein schmeckt ziemlich schlecht.
deu,Tom sprang über den Bach hinüber.
deu,Das Rindfleischetikettierungsüberwachungsaufgabenübertragungsgesetz wurde unter geändertem Namen verabschiedet.
deu,Tom und ich sind ziemlich gut befreundet.
deu,"Denn von oben kommt Verführung, wenn's den Göttern so beliebt."
deu,Könnten Sie Ihre Scheinwerfer einschalten?
deu,Der Bürgermeister händigte mir meinen Personalausweis aus.
deu,Kommen Sie jetzt mit mir.
deu,Es tut uns auch leid.
deu,Bitte halten Sie den Mund!
deu,Ich habe sein Autogramm nicht bekommen.
deu,Hier ist eine große Deutschlandkarte.
deu,Er war ein Dichter und ein Diplomat.
deu,Komm mir nicht zu nahe. Ich bin erkältet.
deu,Sie sind schwer bewaffnet.
deu,Sie spielten zusammen Fußball.
deu,Sehen Sie im Laden von Essen und Trinken bitte ab!
deu,"Das ist es also, womit ich meinen Lebensunterhalt verdiene."
deu,Tom hat sein Versprechen nicht gehalten.
deu,Ich kann noch kein Russisch.
deu,Willst du nicht mit einem Rechtsanwalt sprechen?
